"","TC_Data3.Date","TC_Impressions","TC_Clicks","TC_Cost","TC_AvgPos","TC_Conversions","TC_Revenue"
"159","10/12/2015","2582727","46307","153934.952","1.712040513",7106,214381.8572
"160","10/13/2015","2546426","52529","175186.3666","1.717099227",8034,212624.0904
"161","10/14/2015","2634803","52722","172698.369","1.70581995",7778,256292.9085
"162","10/14/2015","2634803","52722","172698.369","1.70581995",7778,256292.9085
"163","10/14/2015","2634803","52722","172698.369","1.70581995",7778,256292.9085
"164","10/14/2015","2634803","52722","172698.369","1.70581995",7778,256292.9085
"165","10/14/2015","2634803","52722","172698.369","1.70581995",7778,256292.9085
"166","10/15/2015","2735680","52577","161320.1764","1.682316549",7341,240296.9898
"167","10/16/2015","2561228","49563","141392.6026","1.691283103",6910,202033.4235
"168","10/17/2015","2379246","39865","113730.0054","1.699622074",6172,150993.8515
"169","10/18/2015","2113720","38570","112540.293","1.716186879",6365,160809.003
"170","10/19/2015","2224691","50996","147283.1071","1.734937832",8339,249151.1203
"171","10/20/2015","2349884","50584","149791.4112","1.715656953",8411,248797.5857
"172","10/21/2015","2333533","48408","145297.6093","1.71171136",8182,239934.7484
"173","10/22/2015","2310581","49078","142629.354","1.690215872",8326,231051.0431
"174","10/23/2015","1821827","46153","126242.1287","1.717328648",7103,216916.3318
"175","10/24/2015","1738940","38828","102388.5918","1.70056802",6223,145690.8375
"176","10/25/2015","1870819","38420","109332.5446","1.650877023",6428,142409.0106
"177","10/26/2015","2036117","52997","153533.2827","1.700557105",8386,224464.761
"178","10/27/2015","2035566","52522","156008.8738","1.702670193",8253,232440.3675
"179","10/28/2015","1906161","50195","143907.3108","1.714661024",8170,247381.0638
"180","10/29/2015","1808563","47368","134447.1055","1.674681474",7631,231449.5142
"181","10/30/2015","1638283","45856","132167.6468","1.654223482",6244,183712.6066
"182","10/31/2015","1224212","36444","103966.4082","1.697658721",5347,132693.6894
"183","11/1/2015","2153286","43116","127223.2581","1.699685483",6490,113884.2391
"184","11/2/2015","2434243","55675","166705.288","1.74841582",8007,179036.0701
"185","11/3/2015","2259252","56372","169939.6977","1.856496042",8281,184569.2506
"186","11/4/2015","2097881","55492","150714.4876","1.795494317",8975,207103.9388
"187","11/5/2015","2376108","54105","147104.9182","1.864503594",8513,191879.8287
"188","11/6/2015","2269045","50965","139913.0738",NA,7696,100326.0699
"189","11/7/2015","2453658","43089","115608.9618",NA,6953,80487.18996
"190","11/8/2015","2736809","41841","118828.6509",NA,7177,79088.8699
"191","11/9/2015","2800143","55791",NA,NA,24,0
"192","11/10/2015","2505657","55957",NA,NA,0,0
